country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mac,84,89,68,76,88,0.232471468,0.151936268,0.048461203,0.048276359,0.048053398
mda,84,5,11,67,65,0.233362279,0.200836148,0.167808171,0.129831205,0.086990952
mdg,84,3,7,97,28,0.342184237,0.149955673,0.126718151,0.126638469,0.082977816
mdv,3,34,28,93,72,0.076604055,0.034511548,0.003331239,0.002454122,0.002026876
mex,78,33,76,77,75,49.7382337,36.1972125,32.6802171,27.30347689,15.08351301
mhl,79,3,33,42,89,0.30370347,0.072429853,0.01070267,0.002696462,0.001732897
mkd,67,84,28,59,5,0.744984909,0.596545098,0.220567936,0.202931841,0.165769319
mli,97,26,33,22,56,0.290664213,0.143359952,0.082377034,0.023152498,0.01389721
mlt,33,77,54,89,79,2.036110842,1.816569101,0.308621785,0.247156868,0.219137608
mmr,34,5,24,84,3,2.373339996,0.972282579,0.71334745,0.497870887,0.28001797
mne,68,35,28,67,11,0.154458313,0.074215299,0.023753143,0.021213329,0.02051828
mng,28,32,97,33,26,1.162591483,0.957816795,0.208310072,0.150180626,0.097756306
mnp,28,3,65,84,83,0.001027309,0.000247119,0.000132229,0.000121111,0.000118402
moz,68,35,28,12,34,1.618111132,0.236089675,0.195653247,0.171739719,0.159900563
mrt,28,3,33,97,8,1.364949269,0.298478527,0.120585491,0.050904397,0.038649858
msr,65,82,74,71,93,0.000977585,0.000846211,0.000755071,0.000383765,0.000245891
mus,84,3,6,89,79,0.700918075,0.256137618,0.23606337,0.080987667,0.077772579
mwi,12,7,52,6,5,0.538005084,0.071051244,0.062157176,0.05621958,0.053452139
mys,77,33,75,76,42,62.69847586,27.92232849,21.25223317,15.28930475,12.84260081
myt,3,69,77,55,72,0.004652536,0.000430443,0.000347818,0.000341545,0.000221403
nam,52,68,66,3,28,0.704322578,0.577351668,0.491224836,0.311480314,0.173813569
ncl,67,28,33,93,3,0.534453058,0.523766212,0.013100116,0.007982449,0.006702276
ner,52,33,5,93,77,0.231255778,0.021675233,0.011531405,0.009990485,0.003425276
nfk,12,59,29,78,65,0.001134289,0.000650867,0.00030511,0.000128603,0.000107983
nga,33,34,7,93,61,62.58910421,6.045228594,0.799841452,0.418755136,0.259308093
nic,84,7,77,97,3,0.980975068,0.374200578,0.31315453,0.221577027,0.171845762
niu,77,76,51,33,89,0.084373758,0.069072579,0.048393375,0.047373539,0.003138241
nld,33,51,75,77,93,59.64678547,18.74977182,17.8860475,17.75274278,16.73111321
