year;origin;destination;
1993;aus;syr;
1993;aus;tca;
1993;aus;tcd;
1993;aus;tgo;
1993;aus;tha;
1993;aus;ton;
1993;aus;tto;
1993;aus;tun;
1993;aus;tur;
1993;aus;tuv;
1993;aus;tza;
1993;aus;uga;
1993;aus;ukr;
1993;aus;ury;
1993;aus;usa;
1993;aus;uzb;
1993;aus;vct;
1993;aus;ven;
1993;aus;vgb;
1993;aus;vnm;
1993;aus;vut;
1993;aus;wlf;
1993;aus;wsm;
1993;aus;yem;
1993;aus;zaf;
1993;aus;zmb;
1993;aus;zwe;
1993;aut;afg;
1993;aut;ago;
1993;aut;alb;
1993;aut;ant;
1993;aut;are;
1993;aut;arg;
1993;aut;arm;
1993;aut;atg;
1993;aut;aus;
1993;aut;aze;
1993;aut;bdi;
1993;aut;bel;
1993;aut;ben;
1993;aut;bfa;
1993;aut;bgd;
1993;aut;bgr;
1993;aut;bhr;
1993;aut;bhs;
1993;aut;bih;
1993;aut;blr;
1993;aut;blz;
1993;aut;bmu;
1993;aut;bol;
1993;aut;bra;
1993;aut;brb;
1993;aut;brn;
1993;aut;btn;
1993;aut;caf;
1993;aut;can;
1993;aut;che;
1993;aut;chl;
1993;aut;chn;
1993;aut;civ;
1993;aut;cmr;
1993;aut;cod;
1993;aut;cog;
1993;aut;cok;
1993;aut;col;
1993;aut;com;
1993;aut;cpv;
1993;aut;cri;
1993;aut;cub;
1993;aut;cym;
1993;aut;cyp;
1993;aut;cze;
1993;aut;deu;
1993;aut;dji;
1993;aut;dma;
1993;aut;dnk;
1993;aut;dom;
1993;aut;dza;
1993;aut;ecu;
1993;aut;egy;
1993;aut;esp;
1993;aut;est;
1993;aut;eth;
1993;aut;fin;
1993;aut;fji;
1993;aut;flk;
1993;aut;fra;
1993;aut;fro;
1993;aut;gab;
1993;aut;gbr;
1993;aut;geo;
1993;aut;gha;
1993;aut;gib;
1993;aut;gin;
1993;aut;glp;
1993;aut;gmb;
1993;aut;gnb;
1993;aut;gnq;
1993;aut;grc;
1993;aut;grd;
1993;aut;grl;
1993;aut;gtm;
1993;aut;guf;
1993;aut;guy;
