country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mrt,3,28,33,8,84,0.1751,0.1728,0.0033,0.0007,0.0007
msr,78,77,85,5,87,0.0007,0.0003,0.0001,0.0001,0.0001
mtq,5,11,33,89,4,0.0895,0.0273,0.0150,0.0074,0.0040
mus,84,6,89,88,3,0.6794,0.3003,0.0355,0.0253,0.0248
mwi,12,7,6,84,76,0.2150,0.0370,0.0163,0.0119,0.0087
mys,76,77,24,75,33,8.8190,8.5828,3.8416,3.5975,3.2406
ncl,67,28,33,3,66,0.1987,0.1311,0.0081,0.0069,0.0032
ner,52,51,33,68,8,0.1343,0.0040,0.0026,0.0014,0.0013
nfk,26,3,93,21,65,0.0002,0.0002,0.0002,0.0001,0.0001
nga,33,7,23,61,3,10.2841,0.1571,0.0753,0.0740,0.0408
nic,1,7,3,6,5,0.0596,0.0444,0.0280,0.0188,0.0136
niu,5,1,75,3,68,0.0002,0.0001,0.0001,0.0001,0.0000
nld,33,75,58,51,77,9.4510,5.9631,4.8045,4.5782,4.5081
nor,33,34,3,68,79,12.0933,2.2466,2.2213,1.7370,1.2309
npl,65,84,5,22,61,0.2141,0.1042,0.0135,0.0059,0.0058
nru,27,77,67,93,75,0.0348,0.0034,0.0012,0.0002,0.0002
nzl,1,2,24,5,3,1.5532,1.3642,0.7340,0.6108,0.5527
omn,33,78,84,68,3,3.6879,0.0984,0.0774,0.0360,0.0349
pak,65,84,26,61,89,2.4882,1.2619,0.2693,0.1933,0.1429
pan,79,5,76,3,84,0.4801,0.3406,0.2329,0.2185,0.1645
pcn,27,5,83,89,84,0.0101,0.0001,0.0000,0.0000,0.0000
per,68,8,28,84,5,0.7777,0.4993,0.4883,0.1437,0.1368
phl,77,84,5,76,93,2.4795,1.9936,0.8772,0.6639,0.6551
plw,3,84,65,93,67,0.0317,0.0009,0.0004,0.0001,0.0001
png,33,24,97,28,7,0.6607,0.5489,0.4819,0.3970,0.1306
pol,84,32,67,68,78,1.5528,1.0733,0.8669,0.8119,0.6796
prk,67,84,3,97,65,0.2113,0.1496,0.0606,0.0366,0.0344
prt,84,78,85,77,65,2.5617,1.8369,1.2714,1.0219,0.9258
pry,22,26,24,61,8,0.2001,0.1741,0.0610,0.0490,0.0461
pyf,66,42,29,93,89,0.0570,0.0025,0.0020,0.0017,0.0015
qat,33,34,56,67,58,2.4565,0.1508,0.1068,0.0745,0.0536
reu,6,11,55,7,5,0.1054,0.0046,0.0026,0.0023,0.0020
rou,84,67,82,56,78,0.7233,0.5031,0.2986,0.1251,0.1249
rus,33,68,67,34,3,10.4949,3.9634,3.7018,3.4502,1.3657
rwa,7,97,28,2,21,0.0561,0.0140,0.0055,0.0040,0.0039
sau,33,34,51,58,4,35.4682,2.0670,0.8913,0.5146,0.2499
scg,67,61,56,28,77,0.0171,0.0126,0.0117,0.0115,0.0101
sdn,4,26,29,0,22,0.0762,0.0723,0.0509,0.0508,0.0338
sen,3,42,27,8,5,0.1563,0.0448,0.0441,0.0123,0.0111
sgp,75,33,77,76,89,13.2029,8.3978,8.2676,5.9018,1.6718
shn,3,93,77,75,66,0.0030,0.0006,0.0004,0.0001,0.0001
slb,24,3,42,22,93,0.1049,0.0160,0.0107,0.0056,0.0038
sle,66,28,3,7,67,0.0851,0.0687,0.0199,0.0056,0.0021
slv,84,7,77,65,64,0.2436,0.2162,0.0549,0.0501,0.0453
som,0,3,94,29,21,0.0589,0.0065,0.0052,0.0035,0.0017
spm,3,72,58,5,51,0.0011,0.0001,0.0001,0.0001,0.0001
stp,7,3,93,75,29,0.0046,0.0007,0.0005,0.0004,0.0002
sur,28,3,68,5,4,0.2468,0.0284,0.0236,0.0231,0.0130
svk,67,84,65,78,77,0.5761,0.2398,0.1945,0.1854,0.1792
svn,84,78,77,82,33,0.5779,0.4882,0.4822,0.2768,0.2611
swe,78,64,74,67,76,5.7655,5.1454,3.1423,2.7044,2.5817
syc,3,93,11,75,7,0.0350,0.0038,0.0011,0.0007,0.0005
syr,33,26,0,5,84,1.8922,0.1397,0.0833,0.0799,0.0700
tca,3,66,26,32,5,0.0055,0.0041,0.0007,0.0003,0.0002
tcd,26,29,93,42,21,0.0425,0.0086,0.0013,0.0009,0.0005
tgo,27,7,26,3,66,0.0453,0.0189,0.0183,0.0046,0.0044
tha,75,84,3,77,89,3.4209,3.1679,3.1311,3.0283,2.3752
tjk,26,68,28,67,33,0.0577,0.0380,0.0113,0.0040,0.0014
tkl,12,93,65,5,89,0.0036,0.0007,0.0006,0.0003,0.0001
tkm,26,33,65,29,21,0.2208,0.0388,0.0037,0.0022,0.0017
tls,74,77,2,58,75,0.0001,0.0001,0.0001,0.0000,0.0000
ton,5,3,7,93,84,0.0126,0.0017,0.0015,0.0011,0.0005
tto,33,52,67,11,56,0.6702,0.1392,0.1248,0.0949,0.0561
tun,84,33,77,42,52,1.5662,0.1726,0.1723,0.1544,0.1441
tur,84,67,5,65,66,4.1024,1.6283,1.5051,1.3322,0.4403
tuv,54,85,89,65,26,0.0003,0.0002,0.0001,0.0000,0.0000
tza,7,26,5,68,12,0.1122,0.0633,0.0582,0.0394,0.0198
uga,7,21,3,26,12,0.0965,0.0105,0.0080,0.0064,0.0045
ukr,67,33,56,28,52,1.0541,0.4363,0.3011,0.2569,0.1922
ury,78,1,65,4,84,0.2638,0.1978,0.1908,0.1854,0.1404
usa,77,78,75,79,74,40.3453,31.4330,30.8961,24.5532,21.8232
uzb,26,97,68,33,56,0.3570,0.2181,0.0156,0.0094,0.0071
vct,5,79,3,4,84,0.0371,0.0247,0.0233,0.0097,0.0024
ven,33,67,68,28,78,11.3573,0.5849,0.5129,0.3528,0.3134
vgb,79,93,33,26,66,0.0098,0.0093,0.0038,0.0034,0.0026
vnm,33,84,3,7,85,0.8183,0.4507,0.3816,0.1446,0.1446
vut,79,3,22,1,7,0.0220,0.0056,0.0047,0.0033,0.0021
wlf,84,79,27,54,62,0.0013,0.0002,0.0001,0.0000,0.0000
wsm,77,5,9,8,3,0.0421,0.0035,0.0014,0.0005,0.0005
yem,33,7,3,67,68,0.9474,0.0147,0.0117,0.0091,0.0067
zaf,97,68,67,32,28,2.4967,1.9612,1.7707,1.7222,1.5439
zmb,68,66,65,6,22,0.8026,0.0154,0.0122,0.0076,0.0073
zwe,12,67,68,1,27,0.3232,0.1153,0.0871,0.0684,0.0569
